Date,AAPL,MSFT,GOOGL,AMZN
1995-01-31,,,,
1995-02-28,-0.018980663308451717,0.06105180856483061,,
1995-03-31,-0.1075965101037536,0.12896863453488705,,
1995-04-30,0.08510730825226465,0.14938552805404792,,
1995-05-31,0.08961499041724519,0.0359322097420387,,
1995-06-30,0.11729388064819535,0.06715930586438557,,
1995-07-31,-0.03095601215627175,0.0013825621559697687,,
1995-08-31,-0.0418360583325601,0.02209932294429695,,
1995-09-30,-0.13372232521131855,-0.021621502380646085,,
1995-10-31,-0.02516634564550735,0.10497210560295,,
1995-11-30,0.053184839412805385,-0.12874977679991184,,
1995-12-31,-0.1639356150359037,0.007173494691424143,,
1996-01-31,-0.13333185076563947,0.054131024686687956,,
1996-02-29,-0.004525006523341979,0.06689193495113299,,
1996-03-31,-0.10681919833477183,0.04496534297391763,,
1996-04-30,-0.007632799959069625,0.09818195819631637,,
1996-05-31,0.07179462847123408,0.04856504019203345,,
1996-06-30,-0.19617253578185534,0.011578825697882378,,
1996-07-31,0.04762157222129648,-0.01873041507917117,,
1996-08-31,0.10227074037033912,0.039236465760169814,,
1996-09-30,-0.08505063440989247,0.07653012172584117,,
1996-10-31,0.03661725902880075,0.04075858769581098,,
1996-11-30,0.048915023298742755,0.14298741983367402,,
1996-12-31,-0.13471556697247467,0.053386479954045774,,
1997-01-31,-0.2035907855254866,0.23449399804508175,,
1997-02-28,-0.022561312510437914,-0.044118402414344504,,
1997-03-31,0.12307608094362199,-0.05961522689156962,,
1997-04-30,-0.06848876587343211,0.32515322908876554,,
1997-05-31,-0.022057769551294126,0.02057633093038258,,
1997-06-30,-0.14286069458417472,0.01915288865766307,,0.027773279834855336
1997-07-31,0.2280715292160631,0.11869494559945903,,0.5540651107853785
1997-08-31,0.24285428164126066,-0.06498711403880608,,-0.023916468313325945
1997-09-30,-0.002873513408886641,0.0009461223862383683,,0.8552345543517019
1997-10-31,-0.21469417208283859,-0.01747787397502265,,0.17167057352711357
1997-11-30,0.04219890981691665,0.08846134375425097,,-0.18852563584688342
1997-12-31,-0.26055955984802437,-0.0865722819278183,,0.21717339164811045
1998-01-31,0.3952282900271751,0.15425526013941582,,-0.020749570372283865
1998-02-28,0.29010930024638504,0.1361534704888614,,0.30508517828652737
1998-03-31,0.16401926954363377,0.056047841327132586,,0.11079592348390466
1998-04-30,-0.004544575641582949,0.006983135995298317,,0.07270895578304559
1998-05-31,-0.027400115669866998,-0.05894602063095766,,-0.03950905512968106
1998-06-30,0.07746446101432913,0.2778186429013956,,1.2638266961074316
1998-07-31,0.20697434327710829,0.014417575021236972,,0.11152840934798713
1998-08-31,-0.09927787966014479,-0.1273448842618191,,-0.2446442566669439
1998-09-30,0.22244473130606268,0.14723156553975847,,0.33283477540211437
1998-10-31,-0.02623103338129018,-0.0380467388414123,,0.13269928601274583
1998-11-30,-0.13973065326505585,0.15230163861862556,,0.518536654408724
1998-12-31,0.2817999468180763,0.13678319405122474,,0.6731768597189061
1999-01-31,0.0061093475848004175,0.261829593621286,,0.09202368971812791
1999-02-28,-0.154780830244449,-0.14214289270830072,,0.09567054984150758
1999-03-31,0.03231725277066988,0.1940052800948262,,0.343902587890625
1999-04-30,0.27999708448151917,-0.09274791399767346,,-0.0007259970412906158
1999-05-31,-0.04211906933430254,-0.0076862829973421976,,-0.3098438526594133
1999-06-30,0.0510628399082349,0.11773835586768522,,0.05368419446443262
1999-07-31,0.20243109772674361,-0.04850993983801033,,-0.20029950518688322
1999-08-31,0.17171644157193766,0.07865969186360333,,0.2429728574701715
1999-09-30,-0.02969342092695293,-0.021606570189510843,,0.2854271510138584
1999-10-31,0.2655486830392546,0.02208372371602696,,-0.1164972740275072
1999-11-30,0.2215285156939244,-0.016373837581524775,,0.20442483277447465
1999-12-31,0.050447220559073136,0.2823064749135924,,-0.10506981932742487
2000-01-31,0.009117765942224798,-0.16167017058563948,,-0.15188833773787835
2000-02-29,0.10482039534297449,-0.08684572098144216,,0.06679567950280862
2000-03-31,0.18484176908793293,0.18881168360277778,,-0.027223231243908463
2000-04-30,-0.08651655320599416,-0.34352966022957865,,-0.17630591823253117
2000-05-31,-0.3229221541358379,-0.10304660246049946,,-0.12457530713280107
2000-06-30,0.2470238212117828,0.27872140347591756,,-0.2483829730870898
2000-07-31,-0.029833061812620687,-0.12734403095080982,,-0.17039583427168759
2000-08-31,0.1992626639639823,0.0,,0.3775933708476882
2000-09-30,-0.5774364857421391,-0.13607872477575722,,-0.07379520200717415
2000-10-31,-0.2402911956899122,0.14196911364019216,,-0.04715449635575453
2000-11-30,-0.1565482886906554,-0.166968979403588,,-0.32593854900108965
2000-12-31,-0.09848547416133191,-0.24400877811861266,,-0.36962026282201843
2001-01-31,0.45378267957679075,0.40778031234888346,,0.11244984687973458
2001-02-28,-0.15606945863719235,-0.03377632800056518,,-0.4115523903209152
2001-03-31,0.20931379553134755,-0.07309321010714787,,0.004171828014716716
2001-04-30,0.15496315194962995,0.2388576329258012,,0.5425219418505709
2001-05-31,-0.21734077053434964,0.02110654353227437,,0.05766798670687945
2001-06-30,0.165414372297372,0.055217846351819366,,-0.1521869761603567
2001-07-31,-0.19182778350241636,-0.09328760810496606,,-0.1173144968609624
2001-08-31,-0.012774016489660811,-0.13808725312185322,,-0.2842273600887093
2001-09-30,-0.1638820175354564,-0.10306752531969898,,-0.3322147572700832
2001-10-31,0.13217200136855678,0.13640836065902584,,0.1691792470405844
2001-11-30,0.2129857672682618,0.10421352201115375,,0.621776428447059
